"industry","exp_val"
"01T02",9.29678
"03",3.731901
"05T06",0.004419
"07T08",7.272579
"09",0.203422
"10T12",44.191058
"13T15",212.980331
"16",19.477872
"17T18",3.078325
"19",6.1806
"20",143.206995
"21",8.012543
"22",122.358945
"23",77.694296
"24",98.25414
"25",148.963956
"26",251.504774
"27",140.333387
"28",59.945929
"29",4.354884
"30",23.787084
"31T33",34.281663
"35",0
"36T39",0.032199
"41T43",0
"45T47",75.297845
"49",47.373857
"50",6.088359
"51",21.996098
"52",10.076448
"53",0.00357
"55T56",0
"58T60",3.565822
"61",0.961709
"62T63",23.781109
"64T66",1.974564
"68",0.705909
"69T75",11.299826
"77T82",9.304862
"84",0
"85",0
"86T88",0
"90T93",0.205595
"94T96",0.516802
"97T98",0
